Template Selection Results
+----+--------------------------------+-------------+
|    | Template                       |      Scores |
|----+--------------------------------+-------------|
|  0 | [lc]-[ns]-[type-iii]-[ans-iii] | 8.9407e-06  |
|  1 | [og]-[s]-[type-i]-[ans-i]      | 5.60284e-06 |
|  2 | [lc]-[ns]-[type-iii]-[ans-ii]  | 5.24521e-06 |
|  3 | [lc]-[s]-[type-i]-[ans-i]      | 4.76837e-06 |
|  4 | [lc]-[s]-[type-iii]-[ans-iii]  | 4.29153e-06 |
|  5 | [lc]-[s]-[type-i]-[ans-iii]    | 3.33786e-06 |
|  6 | [og]-[s]-[type-iii]-[ans-i]    | 3.09944e-06 |
|  7 | [og]-[ns]-[type-i]-[ans-i]     | 2.5034e-06  |
|  8 | [lc]-[ns]-[type-ii]-[ans-iii]  | 2.38419e-06 |
|  9 | [og]-[s]-[type-iii]-[ans-ii]   | 2.14577e-06 |
| 10 | [lc]-[ns]-[type-iii]-[ans-i]   | 2.02656e-06 |
| 11 | [lc]-[ns]-[type-i]-[ans-iii]   | 1.90735e-06 |
| 12 | [og]-[s]-[type-iii]-[ans-iii]  | 1.78814e-06 |
| 13 | [lc]-[s]-[type-iii]-[ans-i]    | 1.78814e-06 |
| 14 | [lc]-[ns]-[type-i]-[ans-ii]    | 1.78814e-06 |
| 15 | [lc]-[s]-[type-ii]-[ans-iii]   | 1.66893e-06 |
| 16 | [lc]-[s]-[type-iii]-[ans-ii]   | 1.66893e-06 |
| 17 | [og]-[s]-[type-i]-[ans-iii]    | 1.43051e-06 |
| 18 | [og]-[s]-[type-ii]-[ans-i]     | 1.43051e-06 |
| 19 | [og]-[ns]-[type-ii]-[ans-ii]   | 1.3113e-06  |
| 20 | [og]-[ns]-[type-ii]-[ans-i]    | 1.19209e-06 |
| 21 | [og]-[s]-[type-ii]-[ans-ii]    | 1.19209e-06 |
| 22 | [og]-[s]-[type-i]-[ans-ii]     | 1.19209e-06 |
| 23 | [lc]-[ns]-[type-ii]-[ans-ii]   | 9.53674e-07 |
| 24 | [og]-[ns]-[type-i]-[ans-ii]    | 9.53674e-07 |
| 25 | [lc]-[ns]-[type-i]-[ans-i]     | 9.53674e-07 |
| 26 | [lc]-[s]-[type-ii]-[ans-i]     | 9.53674e-07 |
| 27 | [lc]-[s]-[type-i]-[ans-ii]     | 7.15256e-07 |
| 28 | [og]-[ns]-[type-iii]-[ans-iii] | 7.15256e-07 |
| 29 | [og]-[ns]-[type-iii]-[ans-i]   | 7.15256e-07 |
| 30 | [og]-[s]-[type-ii]-[ans-iii]   | 7.15256e-07 |
| 31 | [lc]-[s]-[type-ii]-[ans-ii]    | 7.15256e-07 |
| 32 | [og]-[ns]-[type-iii]-[ans-ii]  | 4.76837e-07 |
| 33 | [lc]-[ns]-[type-ii]-[ans-i]    | 3.57628e-07 |
| 34 | [og]-[ns]-[type-i]-[ans-iii]   | 3.57628e-07 |
| 35 | [og]-[ns]-[type-ii]-[ans-iii]  | 2.38419e-07 |
+----+--------------------------------+-------------+

For OPT, among these templates, [lc]-[ns]-[type-iii]-[ans-iii] achieved the highest score.
